RecId,RecNo,RecKnd,AccNo,AmntDB,AmntCR,ItemNo,ItemAmnt,ItemCont,Desc
7,2,41,1020862,765.0,0.0,13,17.0,45.0,
8,2,42,2010032,0.0,765.0,13,17.0,45.0,
9,2,43,2010032,53.55,0.0,0,0.0,0.0,سعي الفاتورة 628601
10,2,44,4010001,0.0,53.55,0,0.0,0.0,سعي الفاتورة 628601
11,2,45,2010032,8.03,0.0,0,0.0,0.0,ضريبة الفاتورة 628601
12,2,46,2040001,0.0,8.03,0,0.0,0.0,ضريبة الفاتورة 628601
13,3,41,1010028,144.0,0.0,15,9.0,16.0,
14,3,41,1010028,100.0,0.0,15,10.0,10.0,
15,3,41,1010028,80.0,0.0,15,8.0,10.0,
16,3,41,1010028,50.0,0.0,15,5.0,10.0,
17,3,42,2010018,0.0,144.0,15,9.0,16.0,
18,3,42,2010018,0.0,100.0,15,10.0,10.0,
19,3,42,2010018,0.0,80.0,15,8.0,10.0,
20,3,42,2010018,0.0,50.0,15,5.0,10.0,
21,3,43,2010018,26.18,0.0,0,0.0,0.0,سعي الفاتورة 628603
22,3,44,4010001,0.0,26.18,0,0.0,0.0,سعي الفاتورة 628603
23,3,45,2010018,3.93,0.0,0,0.0,0.0,ضريبة الفاتورة 628603
24,3,46,2040001,0.0,3.93,0,0.0,0.0,ضريبة الفاتورة 628603
25,4,41,1010028,160.0,0.0,1,10.0,16.0,
26,4,42,2010018,0.0,160.0,1,10.0,16.0,
27,4,43,2010018,11.2,0.0,0,0.0,0.0,سعي الفاتورة 628605
28,4,44,4010001,0.0,11.2,0,0.0,0.0,سعي الفاتورة 628605
29,4,45,2010018,1.68,0.0,0,0.0,0.0,ضريبة الفاتورة 628605
30,4,46,2040001,0.0,1.68,0,0.0,0.0,ضريبة الفاتورة 628605
31,5,41,1010028,520.0,0.0,15,10.0,52.0,
32,5,41,1010028,50.0,0.0,15,10.0,5.0,
33,5,41,1010028,37.5,0.0,15,2.5,15.0,
34,5,42,2010018,0.0,520.0,15,10.0,52.0,
35,5,42,2010018,0.0,50.0,15,10.0,5.0,
36,5,42,2010018,0.0,37.5,15,2.5,15.0,
37,5,43,2010018,42.52,0.0,0,0.0,0.0,سعي الفاتورة 628606
38,5,44,4010001,0.0,42.52,0,0.0,0.0,سعي الفاتورة 628606
39,5,45,2010018,6.38,0.0,0,0.0,0.0,ضريبة الفاتورة 628606
40,5,46,2040001,0.0,6.38,0,0.0,0.0,ضريبة الفاتورة 628606
41,6,41,1010028,200.0,0.0,7,10.0,20.0,
42,6,41,1010028,36.0,0.0,7,9.0,4.0,
43,6,41,1010028,135.0,0.0,7,9.0,15.0,
44,6,41,1010028,45.0,0.0,7,9.0,5.0,
45,6,41,1010028,234.0,0.0,7,6.0,39.0,
46,6,41,1010028,25.0,0.0,7,5.0,5.0,
47,6,41,1010028,49.0,0.0,7,7.0,7.0,
48,6,42,2010018,0.0,200.0,7,10.0,20.0,
49,6,42,2010018,0.0,36.0,7,9.0,4.0,
50,6,42,2010018,0.0,135.0,7,9.0,15.0,
51,6,42,2010018,0.0,45.0,7,9.0,5.0,
52,6,42,2010018,0.0,234.0,7,6.0,39.0,
53,6,42,2010018,0.0,25.0,7,5.0,5.0,
54,6,42,2010018,0.0,49.0,7,7.0,7.0,
55,6,43,2010018,50.68,0.0,0,0.0,0.0,سعي الفاتورة 628607
56,6,44,4010001,0.0,50.68,0,0.0,0.0,سعي الفاتورة 628607
57,6,45,2010018,7.6,0.0,0,0.0,0.0,ضريبة الفاتورة 628607
58,6,46,2040001,0.0,7.6,0,0.0,0.0,ضريبة الفاتورة 628607
59,7,41,1021181,48.0,0.0,2,6.0,8.0,
60,7,41,1021181,210.0,0.0,7,7.0,30.0,
61,7,41,1021181,150.0,0.0,2,5.0,30.0,
62,7,41,1010019,315.0,0.0,5,5.0,63.0,
63,7,41,1010019,80.0,0.0,7,5.0,16.0,
64,7,41,1010019,138.0,0.0,28,3.0,46.0,
65,7,42,2010018,0.0,48.0,2,6.0,8.0,
66,7,42,2010018,0.0,210.0,7,7.0,30.0,
67,7,42,2010018,0.0,150.0,2,5.0,30.0,
68,7,42,2010018,0.0,315.0,5,5.0,63.0,
69,7,42,2010018,0.0,80.0,7,5.0,16.0,
70,7,42,2010018,0.0,138.0,28,3.0,46.0,
71,7,43,2010018,65.87,0.0,0,0.0,0.0,سعي الفاتورة 656951
72,7,44,4010001,0.0,65.87,0,0.0,0.0,سعي الفاتورة 656951
73,7,45,2010018,9.88,0.0,0,0.0,0.0,ضريبة الفاتورة 656951
74,7,46,2040001,0.0,9.88,0,0.0,0.0,ضريبة الفاتورة 656951
85,9,41,1010019,330.0,0.0,28,15.0,22.0,
86,9,41,1021181,15.0,0.0,28,15.0,1.0,
87,9,41,1010019,280.0,0.0,17,8.0,35.0,
88,9,41,1010019,31.5,0.0,17,4.5,7.0,
89,9,41,1010019,232.0,0.0,17,8.0,29.0,
90,9,41,1021181,8.0,0.0,17,8.0,1.0,
91,9,41,1010019,8.0,0.0,17,8.0,1.0,
92,9,42,2010046,0.0,330.0,28,15.0,22.0,
93,9,42,2010046,0.0,15.0,28,15.0,1.0,
94,9,42,2010046,0.0,280.0,17,8.0,35.0,
95,9,42,2010046,0.0,31.5,17,4.5,7.0,
96,9,42,2010046,0.0,232.0,17,8.0,29.0,
97,9,42,2010046,0.0,8.0,17,8.0,1.0,
98,9,42,2010046,0.0,8.0,17,8.0,1.0,
99,9,43,2010046,63.32,0.0,0,0.0,0.0,سعي الفاتورة 656953
100,9,44,4010001,0.0,63.32,0,0.0,0.0,سعي الفاتورة 656953
101,9,45,2010046,9.5,0.0,0,0.0,0.0,ضريبة الفاتورة 656953
102,9,46,2040001,0.0,9.5,0,0.0,0.0,ضريبة الفاتورة 656953
103,10,41,1010019,72.0,0.0,35,9.0,8.0,
104,10,42,2010046,0.0,72.0,35,9.0,8.0,
105,10,43,2010046,5.04,0.0,0,0.0,0.0,سعي الفاتورة 656954
106,10,44,4010001,0.0,5.04,0,0.0,0.0,سعي الفاتورة 656954
107,10,45,2010046,0.76,0.0,0,0.0,0.0,ضريبة الفاتورة 656954
108,10,46,2040001,0.0,0.76,0,0.0,0.0,ضريبة الفاتورة 656954
119,12,41,1010019,850.0,0.0,13,17.0,50.0,
120,12,41,1021181,255.0,0.0,13,17.0,15.0,
121,12,41,1021181,72.0,0.0,7,6.0,12.0,
122,12,41,1021181,891.0,0.0,28,11.0,81.0,
123,12,41,1021181,60.0,0.0,13,15.0,4.0,
124,12,41,1021181,120.0,0.0,15,4.0,30.0,
125,12,42,2010032,0.0,850.0,13,17.0,50.0,
126,12,42,2010032,0.0,255.0,13,17.0,15.0,
127,12,42,2010032,0.0,72.0,7,6.0,12.0,
128,12,42,2010032,0.0,891.0,28,11.0,81.0,
129,12,42,2010032,0.0,60.0,13,15.0,4.0,
130,12,42,2010032,0.0,120.0,15,4.0,30.0,
131,12,43,2010032,157.36,0.0,0,0.0,0.0,سعي الفاتورة 656956
132,12,44,4010001,0.0,157.36,0,0.0,0.0,سعي الفاتورة 656956
133,12,45,2010032,23.6,0.0,0,0.0,0.0,ضريبة الفاتورة 656956
134,12,46,2040001,0.0,23.6,0,0.0,0.0,ضريبة الفاتورة 656956
153,16,41,1010019,200.0,0.0,15,4.0,50.0,
154,16,41,1010019,156.0,0.0,7,4.0,39.0,
155,16,41,1021181,150.0,0.0,5,5.0,30.0,
156,16,41,1021181,200.0,0.0,15,4.0,50.0,
157,16,41,1021181,14.0,0.0,15,7.0,2.0,
158,16,41,1021181,6.0,0.0,15,6.0,1.0,
159,16,41,1021181,15.0,0.0,1,1.5,10.0,
160,16,42,2010018,0.0,200.0,15,4.0,50.0,
161,16,42,2010018,0.0,156.0,7,4.0,39.0,
162,16,42,2010018,0.0,150.0,5,5.0,30.0,
163,16,42,2010018,0.0,200.0,15,4.0,50.0,
164,16,42,2010018,0.0,14.0,15,7.0,2.0,
165,16,42,2010018,0.0,6.0,15,6.0,1.0,
166,16,42,2010018,0.0,15.0,1,1.5,10.0,
167,16,43,2010018,51.87,0.0,0,0.0,0.0,سعي الفاتورة 656958
168,16,44,4010001,0.0,51.87,0,0.0,0.0,سعي الفاتورة 656958
169,16,45,2010018,7.78,0.0,0,0.0,0.0,ضريبة الفاتورة 656958
170,16,46,2040001,0.0,7.78,0,0.0,0.0,ضريبة الفاتورة 656958
185,19,41,1021181,2.0,0.0,1,2.0,1.0,
186,19,41,1021181,15.0,0.0,5,3.0,5.0,
187,19,41,1021181,5.0,0.0,5,2.5,2.0,
188,19,41,1021181,10.0,0.0,5,2.0,5.0,
189,19,41,1021181,8.0,0.0,5,2.0,4.0,
190,19,41,1010019,2.0,0.0,5,2.0,1.0,
191,19,41,1021181,52.0,0.0,5,2.0,26.0,
192,19,42,2010018,0.0,2.0,1,2.0,1.0,
193,19,42,2010018,0.0,15.0,5,3.0,5.0,
194,19,42,2010018,0.0,5.0,5,2.5,2.0,
195,19,42,2010018,0.0,10.0,5,2.0,5.0,
196,19,42,2010018,0.0,8.0,5,2.0,4.0,
197,19,42,2010018,0.0,2.0,5,2.0,1.0,
198,19,42,2010018,0.0,52.0,5,2.0,26.0,
199,19,43,2010018,6.58,0.0,0,0.0,0.0,سعي الفاتورة 656960
200,19,44,4010001,0.0,6.58,0,0.0,0.0,سعي الفاتورة 656960
201,19,45,2010018,0.99,0.0,0,0.0,0.0,ضريبة الفاتورة 656960
202,19,46,2040001,0.0,0.99,0,0.0,0.0,ضريبة الفاتورة 656960
209,21,41,1020236,40.0,0.0,3,8.0,5.0,
210,21,41,1020236,180.0,0.0,28,10.0,18.0,
