ItemNo,ItemName,GroupId
1,رطب سكري,1
2,نبتة علي,1
3,شقراء,1
4,رشودي,1
5,كويري,1
6,لحمية,1
7,برحي,1
8,مكتومي,1
9,خلاص,1
10,خضري,1
11,صقعي,1
12,سلج,1
13,ونانة,1
14,لبانة,1
15,نوايع,1
16,منيفي,1
17,هشيشي,1
18,سلمى,1
19,روثانه,1
20,مناصيف سكري,1
21,قرعاويه,1
22,عسيلة,1
23,ام كبار,1
24,ملكي سكري,1
25,عيديه,1
26,سباكه,1
27,مجدول,1
28,مفتل  سكري,1
29,سكريه حمراء,1
30,فنخا,1
31,نبته سيف,1
32,عجوة,1
33,رمانة,1
34,قشر سكري,1
35,جلكسي سكري,1
36,حلوه,1
37,كيلو خ لا ص,1
38,كيلو ص ق ع ي,1
39,كيلو ج ل ك س ي,1
40,كيلو م ج د و ل,1
41,صقعي فاخر,1
42,صفاوي,1
43,مجدول فاخر,1
44,كيلو س ك ر ي,1
45,كيلو و ن ا نة,1
